GID	GO	EVIDENCE
ostta05g01300	GO:0006790	ISS
ostta05g01360	GO:0006790	ISS
ostta05g05000	GO:0006790	ISS
ostta06g00150	GO:0006790	ISS
ostta06g01430	GO:0006790	ISS
ostta06g02270	GO:0006790	ISS
ostta06g04570	GO:0006790	ISS
ostta07g02250	GO:0006790	ISS
ostta07g04640	GO:0006790	ISS
ostta08g00050	GO:0006790	ISS
ostta08g02240	GO:0006790	ISS
ostta08g02660	GO:0006790	ISS
ostta09g00970	GO:0006790	ISS
ostta09g02590	GO:0006790	ISS
ostta09g02610	GO:0006790	ISS
ostta09g03600	GO:0006790	ISS
ostta10g02660	GO:0006790	ISS
ostta11g01100	GO:0006790	ISS
ostta11g02320	GO:0006790	ISS
ostta12g03060	GO:0006790	ISS
ostta13g00860	GO:0006790	ISS
ostta15g00090	GO:0006790	ISS
ostta15g00830	GO:0006790	ISS
ostta15g00955	GO:0006790	ISS
ostta17g01780	GO:0006790	ISS
ostta01g00320	GO:0009083	ISS
ostta01g04230	GO:0009083	ISS
ostta04g04750	GO:0009083	ISS
ostta04g04830	GO:0009083	ISS
ostta06g04450	GO:0009083	ISS
ostta08g02240	GO:0009083	ISS
ostta09g03720	GO:0009083	ISS
ostta10g01690	GO:0009083	ISS
ostta10g02200	GO:0009083	ISS
ostta11g02820	GO:0009083	ISS
ostta01g05260	GO:0009082	ISS
ostta02g03710	GO:0009082	ISS
ostta03g02470	GO:0009082	ISS
ostta03g02820	GO:0009082	ISS
ostta03g03860	GO:0009082	ISS
ostta04g04750	GO:0009082	ISS
ostta05g02740	GO:0009082	ISS
ostta08g02240	GO:0009082	ISS
ostta11g00540	GO:0009082	ISS
ostta12g01530	GO:0009082	ISS
ostta14g00820	GO:0009082	ISS
ostta14g02970	GO:0009082	ISS
ostta16g02080	GO:0009082	ISS
ostta01g01450	GO:0009085	ISS
ostta01g02480	GO:0009085	ISS
ostta02g03980	GO:0009085	ISS
ostta03g00830	GO:0009085	ISS
ostta05g01350	GO:0009085	ISS
ostta05g05000	GO:0009085	ISS
ostta09g03600	GO:0009085	ISS
ostta16g00560	GO:0009085	ISS
ostta18g01010	GO:0009085	ISS
ostta01g04230	GO:0006554	ISS
ostta01g06090	GO:0006554	ISS
ostta02g02070	GO:0006554	ISS
ostta02g04820	GO:0006554	ISS
ostta04g04830	GO:0006554	ISS
ostta06g04340	GO:0006554	ISS
ostta09g03720	GO:0006554	ISS
ostta11g01290	GO:0006554	ISS
ostta11g02820	GO:0006554	ISS
ostta13g00340	GO:0006554	ISS
ostta18g00210	GO:0006554	ISS
ostta01g03330	GO:0009064	ISS
ostta01g04230	GO:0009064	ISS
ostta01g05080	GO:0009064	ISS
ostta02g04790	GO:0009064	ISS
ostta03g00700	GO:0009064	ISS
ostta03g05910	GO:0009064	ISS
ostta04g00125	GO:0009064	ISS
ostta04g00640	GO:0009064	ISS
ostta04g02630	GO:0009064	ISS
ostta04g02910	GO:0009064	ISS
ostta04g03960	GO:0009064	ISS
ostta05g01300	GO:0009064	ISS
ostta05g03400	GO:0009064	ISS
ostta06g00480	GO:0009064	ISS
ostta09g01360	GO:0009064	ISS
ostta10g02570	GO:0009064	ISS
ostta11g00550	GO:0009064	ISS
ostta11g01100	GO:0009064	ISS
ostta13g00100	GO:0009064	ISS
ostta13g00860	GO:0009064	ISS
ostta15g02235	GO:0009064	ISS
ostta15g02810	GO:0009064	ISS
