pathway.id	pathway.description	genes	GO
path:ota00330	Arginine and proline metabolism	ostta01g03330,ostta01g04230,ostta01g05080,ostta02g04790,ostta03g00700,ostta03g05910,ostta04g00125,ostta04g00640,ostta04g02630,ostta04g02910,ostta04g03960,ostta05g01300,ostta05g03400,ostta06g00480,ostta09g01360,ostta10g02570,ostta11g00550,ostta11g01100,ostta13g00100,ostta13g00860,ostta15g02235,ostta15g02810,ostta17g00030	GO:0009064
path:ota00340	Histidine metabolism	ostta01g01980,ostta01g04230,ostta01g05700,ostta02g01690,ostta04g01100,ostta05g02235,ostta05g02610,ostta07g00060,ostta11g00080	GO:0006547
path:ota00350	Tyrosine metabolism	ostta01g04490,ostta02g01690,ostta03g03750,ostta05g01300,ostta09g03480,ostta12g02430,ostta15g01350,ostta16g00710	GO:0006570
path:ota00360	Phenylalanine metabolism	ostta01g04490,ostta02g01690,ostta03g03750,ostta05g01300,ostta06g00480,ostta09g03720,ostta12g02430,ostta16g00710	GO:0006558
path:ota00380	Tryptophan metabolism	ostta01g04230,ostta02g04820,ostta04g04830,ostta06g00480,ostta09g02380,ostta09g03720,ostta11g02820,ostta14g00170	GO:0006568
path:ota00400	Phenylalanine, tyrosine and tryptophan biosynthesis	ostta01g01230,ostta01g04490,ostta02g01690,ostta02g01980,ostta02g03640,ostta04g00300,ostta05g01300,ostta05g01820,ostta06g01710,ostta06g03270,ostta06g04200,ostta07g01110,ostta07g02810,ostta08g02920,ostta10g02460,ostta11g03090,ostta12g02610,ostta14g02070,ostta14g02775,ostta16g00710	GO:0009073
path:ota00410	beta-Alanine metabolism	ostta01g02650,ostta01g04230,ostta02g03460,ostta09g02630,ostta09g03720,ostta10g02200,ostta12g02310	GO:0019482
path:ota00430	Taurine and hypotaurine metabolism	ostta02g03460,ostta18g01140	GO:0019286
path:ota00440	Phosphonate and phosphinate metabolism	ostta07g02580,ostta09g02400	GO:0019634
path:ota00450	Selenocompound metabolism	ostta03g03050,ostta03g04670,ostta04g02650,ostta07g04600,ostta09g00970,ostta09g01900,ostta09g02590,ostta10g00290,ostta18g00200,ostta18g00400	GO:0001887
path:ota00470	D-Amino acid metabolism	ostta02g03980,ostta11g00550,ostta18g01010	GO:0046416
path:ota00480	Glutathione metabolism	ostta01g00090,ostta01g00130,ostta01g02847,ostta01g03640,ostta02g00130,ostta02g01190,ostta02g01240,ostta04g03320,ostta04g03960,ostta05g01870,ostta05g04590,ostta06g01430,ostta06g02110,ostta07g00430,ostta07g04260,ostta08g00190,ostta08g00560,ostta08g02480,ostta09g00500,ostta11g01100,ostta12g01230,ostta12g02410,ostta13g02500,ostta14g01390,ostta16g00470,ostta17g02340	GO:0006749
path:ota00500	Starch and sucrose metabolism	ostta01g02440,ostta02g00840,ostta02g03360,ostta02g04570,ostta02g05060,ostta03g00870,ostta03g03180,ostta04g01980,ostta04g03940,ostta05g04330,ostta06g02940,ostta06g03160,ostta07g01950,ostta07g03070,ostta07g03440,ostta07g04170,ostta10g00260,ostta11g00260,ostta11g00960,ostta11g02110,ostta11g02780,ostta12g00320,ostta12g02400,ostta13g01180,ostta13g01200,ostta14g00250,ostta14g02180,ostta15g02520,ostta16g00440,ostta16g01560,ostta16g02480,ostta20g00490	GO:0005982
