gene_id	GO_ids
ostta11g01930	GO:0005524; GO:0005739; GO:0009507; GO:0030956; GO:0032543; GO:0050567; GO:0070681
ostta05g02970	GO:0002949; GO:0005739; GO:0046872; GO:0061711
ostta13g00210	GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0046872; GO:0061711
ostta12g01280	GO:0004659; GO:0005737; GO:0008299; GO:0046872
ostta02g02510	GO:0009535; GO:0015979; GO:0015995; GO:0045550; GO:0071949; GO:0102067
ostta03g00820	GO:0004370; GO:0005524; GO:0005739; GO:0006641; GO:0019563; GO:0046167
ostta17g01150	GO:0004366; GO:0005783; GO:0008654; GO:0016020; GO:0019432
ostta04g03170	GO:0004659; GO:0006744; GO:0008299; GO:1990234
ostta17g01400	GO:0004659; GO:0008299; GO:0009507; GO:0010236
ostta09g04190	GO:0004674; GO:0005524; GO:0035556
ostta11g01280	GO:0000287; GO:0005829; GO:0008897; GO:0019878
ostta03g04010	GO:0005737; GO:0006633; GO:0009245; GO:0016020; GO:0019171
ostta03g05480	GO:0004017; GO:0005524; GO:0005634; GO:0005737; GO:0006364; GO:0016887; GO:0042274
ostta05g03730	GO:0005789; GO:0030148; GO:0030497; GO:0042761; GO:0102158
ostta13g02530	GO:0005789; GO:0030148; GO:0030497; GO:0042761; GO:0102158
ostta08g01180	GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745
ostta09g00960	GO:0005506; GO:0009507; GO:0016114; GO:0019288; GO:0046429; GO:0051539
ostta14g02590	GO:0003860; GO:0006574
ostta09g03360	GO:0005634; GO:0006325; GO:0008270; GO:0016567; GO:0033503; GO:0061630
ostta13g02940	GO:0000287; GO:0004449; GO:0004450; GO:0005739; GO:0006099; GO:0006102; GO:0006739; GO:0019674; GO:0042803
ostta14g02890	GO:0004452; GO:0005737; GO:0006694; GO:0009240; GO:0046872; GO:0050992
ostta01g02220	GO:0004316; GO:0006633; GO:0009507; GO:0051287
ostta02g04460	GO:0004315; GO:0005739; GO:0006633
ostta02g00800	GO:0004312; GO:0004315; GO:0006633; GO:0016020; GO:0016491; GO:0031177
ostta02g01840	GO:0004315; GO:0005739; GO:0006633; GO:0009507
ostta15g01470	GO:0004315; GO:0005739; GO:0006633; GO:0009507
ostta15g01890	GO:0004315; GO:0006633
ostta06g04450	GO:0003988; GO:0005777; GO:0006635; GO:0010124
ostta02g04340	GO:0005783; GO:0016020; GO:0016491
ostta01g05910	GO:0008667; GO:0019290
ostta16g00040	GO:0004467; GO:0005783; GO:0016020
ostta12g01000	GO:0004467; GO:0005524; GO:0005783; GO:0016020
ostta05g00250	GO:0004467; GO:0005783; GO:0016020
ostta04g01940	GO:0006629
ostta08g03270	GO:0005886; GO:0016042; GO:0016298
ostta09g03210	GO:0006629; GO:0008374
ostta16g01250	GO:0004758; GO:0008483; GO:0016020; GO:0017059; GO:0030170; GO:0046512; GO:0046513
ostta05g04410	GO:0005506; GO:0008610; GO:0016020; GO:0016491
ostta11g02570	GO:0001727; GO:0005737; GO:0016020; GO:0016773; GO:0046512
ostta02g04800	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta09g04420	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta03g04550	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta18g01230	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta03g04920	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta16g02310	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta14g00065	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta05g01780	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta01g05660	GO:0003729
ostta01g06520	GO:0008610
ostta03g00655	GO:0005789; GO:0046513; GO:0050291
ostta09g02190	GO:0000155; GO:0009637; GO:0009881
ostta07g03340	GO:0003841; GO:0006654; GO:0016020
ostta04g04830	GO:0004148; GO:0005739; GO:0006103; GO:0045252; GO:0050660
ostta07g04540	GO:0005737; GO:0008474; GO:0052689
ostta14g00600	GO:0016020
ostta18g00810	GO:0005783; GO:0008654; GO:0016020; GO:0016746; GO:0019432; GO:0030258
ostta03g02130	GO:0006644; GO:0008195; GO:0016020; GO:0046839
ostta10g00820	GO:0005789; GO:0006487; GO:0008610; GO:0047874
ostta04g03030	GO:0005739; GO:0009249; GO:0009507; GO:0016992; GO:0046872; GO:0051539
ostta06g03510	GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539
ostta12g01740	GO:0000290; GO:0000932; GO:0003729; GO:0006397; GO:1990726; GO:1990904
ostta14g00330	GO:0000398; GO:0003723; GO:0005681; GO:0120115
ostta06g01490	GO:0000398; GO:0000956; GO:0003723; GO:0005681; GO:0120115
ostta07g03030	GO:0000398; GO:0003723; GO:0005681; GO:0005688; GO:0046540; GO:1990726
ostta08g00170	GO:0000398; GO:0003729; GO:0005688; GO:0046540; GO:0071011
ostta15g00120	GO:0009249; GO:0016874; GO:0033819
ostta05g02990	GO:0009249; GO:0016874; GO:0033819
ostta03g01030	GO:0004742; GO:0006086; GO:0045254
ostta14g00700	GO:0009507; GO:0016117; GO:0016705; GO:0016860
ostta17g01290	GO:0016787
ostta05g02845	
ostta11g00910	GO:0000727; GO:0003697; GO:0005524; GO:0005634; GO:0008270; GO:0016887; GO:0017116; GO:0042555; GO:0043138; GO:1902975
ostta02g00690	GO:0000727; GO:0003697; GO:0005524; GO:0005634; GO:0006271; GO:0016887; GO:0017116; GO:0042555; GO:1902975
